application_id,application_date,country,sector,company_size,years_in_business,annual_revenue_eur,existing_bank_client,previous_loans,loan_amount_requested_eur,loan_term_months,collateral_offered,num_employees,debt_to_equity_ratio,current_ratio,profit_margin_pct,revenue_growth_yoy_pct,loan_to_revenue_ratio,credit_bureau_score,num_credit_inquiries_12m,has_payment_defaults,defaulted_12m
APP-00557,2024-06-21,Germany,Construction,Micro (<10),42,50000,False,2,92996,48,True,8,1.05,2.68,10.7,11.7,1.86,804,0,True,0
APP-00558,2024-09-30,Netherlands,Professional Services,Micro (<10),12,720918,False,1,35195,24,True,1,0.85,1.17,-1.5,11.4,0.049,814,3,False,0
APP-00559,2024-08-01,Netherlands,Technology,Micro (<10),4,1111371,True,4,29703,36,False,4,0.66,1.28,-1.6,3.2,0.027,813,1,False,0
APP-00560,2024-09-13,Netherlands,Agriculture,Micro (<10),11,75929,False,0,78072,24,True,2,1.56,1.63,14.5,-2.8,1.028,639,2,False,0
APP-00561,2024-01-27,Germany,Technology,Micro (<10),5,145180,True,4,108659,48,False,9,0.71,0.91,-5.5,20.9,0.748,707,2,False,0
APP-00562,2023-02-01,Germany,Manufacturing,Medium (50-249),20,461300,True,1,713275,36,True,73,1.9,1.04,13.2,8.9,1.546,660,3,False,0
APP-00563,2023-12-26,Netherlands,Construction,Small (10-49),9,274677,False,1,89677,36,True,31,2.26,1.34,14.6,-16.9,0.326,584,1,False,0
APP-00564,2023-05-13,Italy,Healthcare,Medium (50-249),10,469603,True,0,102465,60,False,77,0.8,1.52,7.9,4.4,0.218,505,1,True,0
APP-00565,2024-10-11,Belgium,Real Estate,Micro (<10),2,190100,True,0,71434,84,False,1,3.12,0.84,9.3,1.4,0.376,509,0,False,0
APP-00566,2023-06-22,Germany,Manufacturing,Micro (<10),7,2510314,False,1,161950,24,False,3,1.72,1.73,-2.7,-26.5,0.065,662,2,False,0
APP-00567,2023-06-16,Belgium,Retail & E-commerce,Small (10-49),7,120127,False,4,123534,36,False,13,1.29,2.33,3.3,-4.0,1.028,540,2,True,0
APP-00568,2023-07-02,Netherlands,Hospitality & Food,Small (10-49),3,6782726,False,2,59238,48,False,21,0.46,0.3,8.0,36.2,0.009,586,2,False,0
APP-00569,2024-04-14,France,Retail & E-commerce,Micro (<10),6,1191005,True,0,43951,24,True,2,0.48,1.63,7.8,-23.3,0.037,679,3,False,0
APP-00570,2024-02-21,Germany,Real Estate,Small (10-49),10,728350,True,0,71546,36,True,37,3.47,1.35,8.4,-8.9,0.098,463,2,False,0
APP-00571,2024-11-23,Netherlands,Hospitality & Food,Small (10-49),7,76989,True,1,50277,12,True,16,2.98,1.22,7.8,-24.2,0.653,767,5,False,0
APP-00572,2023-10-31,Poland,Construction,Micro (<10),2,799401,True,3,82048,12,True,5,3.52,1.6,6.1,-14.0,0.103,654,3,True,0
APP-00573,2023-07-26,Spain,Manufacturing,Micro (<10),5,553892,False,2,110545,60,False,1,4.11,2.23,-0.7,-17.1,0.2,619,1,True,1
APP-00574,2023-02-05,France,Hospitality & Food,Micro (<10),5,50000,True,0,66108,36,False,9,3.08,1.55,7.9,-9.2,1.322,598,1,False,0
APP-00575,2023-01-06,Italy,Real Estate,Micro (<10),8,50000,False,0,316032,60,False,4,1.56,1.98,-0.3,25.6,6.321,687,0,False,0
APP-00576,2023-09-30,Italy,Hospitality & Food,Medium (50-249),7,412154,True,0,249575,12,False,118,1.89,1.38,4.0,15.9,0.606,572,4,True,0
APP-00577,2024-11-06,Belgium,Retail & E-commerce,Micro (<10),5,228671,False,1,82154,48,True,3,0.9,1.62,13.7,1.9,0.359,755,4,False,0
APP-00578,2024-01-18,Germany,Manufacturing,Small (10-49),5,144383,True,0,45645,48,False,12,1.56,1.07,-2.6,25.1,0.316,719,4,False,0
APP-00579,2024-10-14,Germany,Real Estate,Small (10-49),7,979442,True,0,96390,60,False,20,2.11,1.42,5.3,-0.7,0.098,592,1,False,0
APP-00580,2023-03-16,Netherlands,Real Estate,Medium (50-249),15,92917,True,3,88700,24,True,218,2.14,1.24,10.8,-6.5,0.955,634,2,False,0
APP-00581,2023-03-10,Netherlands,Manufacturing,Micro (<10),9,155392,False,1,93880,48,False,4,1.25,1.46,9.5,-0.2,0.604,747,5,False,0
APP-00582,2024-08-31,Netherlands,Technology,Micro (<10),23,123446,False,5,71795,72,True,8,0.4,0.41,7.7,-14.0,0.582,682,2,False,0
APP-00583,2023-03-19,France,Retail & E-commerce,Micro (<10),18,494945,False,2,42637,24,False,2,0.54,0.73,2.3,-17.6,0.086,631,2,False,0
APP-00584,2023-02-07,Spain,Construction,Small (10-49),24,50000,True,0,101509,24,False,24,1.8,2.11,13.2,12.9,2.03,590,1,False,1
APP-00585,2023-10-22,Spain,Retail & E-commerce,Micro (<10),22,147678,False,0,74556,36,False,6,1.0,2.24,-0.7,9.0,0.505,641,3,False,0
APP-00586,2024-11-06,Belgium,Transportation & Logistics,Small (10-49),25,50000,False,1,80053,84,False,12,2.01,0.36,9.8,-10.4,1.601,616,3,False,0
APP-00587,2024-05-18,Netherlands,Real Estate,Micro (<10),2,184342,False,2,106422,24,True,4,0.65,1.06,6.8,10.6,0.577,674,3,False,0
APP-00588,2023-03-14,Germany,Manufacturing,Micro (<10),12,638999,False,1,93387,24,True,8,3.06,0.95,1.7,11.1,0.146,624,2,False,0
APP-00589,2024-09-03,Germany,Hospitality & Food,Medium (50-249),19,652832,False,4,104587,84,False,148,0.77,1.55,3.9,-2.3,0.16,572,1,False,0
APP-00590,2024-09-07,Italy,Retail & E-commerce,Small (10-49),22,112070,False,2,71844,36,False,47,3.27,1.35,16.0,-6.4,0.641,737,2,False,0
APP-00591,2024-08-07,Italy,Professional Services,Micro (<10),3,508889,False,1,131678,24,False,2,0.53,1.81,-0.4,14.5,0.259,693,0,False,0
APP-00592,2024-10-20,Italy,Retail & E-commerce,Small (10-49),12,214873,False,0,55590,48,False,49,1.94,0.59,-3.7,10.4,0.259,570,4,False,0
APP-00593,2023-06-25,Italy,Manufacturing,Micro (<10),7,1374089,True,0,41342,12,False,8,0.77,1.61,2.5,25.9,0.03,602,2,False,0
APP-00594,2024-12-16,Poland,Real Estate,Small (10-49),32,229588,True,1,48436,36,False,25,1.34,1.2,8.3,10.2,0.211,706,2,False,0
APP-00595,2023-08-23,Germany,Retail & E-commerce,Micro (<10),2,50000,True,0,57448,12,False,6,2.57,0.96,13.8,-16.3,1.149,582,2,False,0
APP-00596,2024-08-08,Netherlands,Transportation & Logistics,Micro (<10),3,785139,True,3,35233,48,False,2,2.32,1.67,6.1,-13.4,0.045,636,4,False,0
APP-00597,2024-02-27,Netherlands,Retail & E-commerce,Micro (<10),1,154674,True,1,25484,48,True,2,0.82,1.25,-3.0,2.4,0.165,626,1,False,0
APP-00598,2024-07-23,Belgium,Construction,Micro (<10),8,193099,False,0,147674,12,True,4,0.93,1.34,6.5,14.7,0.765,592,4,False,0
APP-00599,2024-04-03,Netherlands,Hospitality & Food,Small (10-49),45,401558,False,2,273592,48,False,23,0.53,2.2,10.7,8.9,0.681,565,2,False,0
APP-00600,2024-04-14,Netherlands,Real Estate,Micro (<10),7,50000,False,2,154224,72,False,6,0.46,1.44,7.8,-2.4,3.084,645,2,False,0
APP-00601,2024-03-25,Poland,Manufacturing,Micro (<10),8,293485,False,0,67072,36,False,9,0.82,2.57,8.7,-15.2,0.229,575,2,False,0
APP-00602,2024-07-22,Netherlands,Manufacturing,Micro (<10),11,509607,True,1,25005,84,True,1,0.81,0.3,-4.3,22.6,0.049,602,4,False,0
APP-00603,2024-06-23,Poland,Healthcare,Micro (<10),6,415350,True,2,115099,84,False,8,0.55,1.39,-1.4,22.1,0.277,717,1,False,0
APP-00604,2023-04-09,Spain,Healthcare,Small (10-49),9,130781,False,1,27286,24,False,20,1.19,0.73,5.3,-11.9,0.209,592,2,False,0
APP-00605,2024-08-26,France,Technology,Micro (<10),10,882327,False,0,92103,48,False,6,1.32,0.84,12.2,13.0,0.104,686,1,False,0
APP-00606,2024-01-27,France,Retail & E-commerce,Small (10-49),3,81064,False,2,52069,60,True,47,1.34,1.01,1.7,8.1,0.642,726,0,False,0
APP-00607,2023-08-24,Belgium,Manufacturing,Medium (50-249),6,126674,False,2,15923,60,True,196,0.84,1.95,7.1,13.2,0.126,641,2,False,0
APP-00608,2024-01-11,France,Transportation & Logistics,Micro (<10),13,227931,True,0,322683,60,True,1,0.95,1.16,6.9,23.2,1.416,690,3,False,0
APP-00609,2024-12-06,Netherlands,Technology,Small (10-49),15,382529,False,0,36147,36,True,33,1.12,0.72,0.3,22.1,0.094,581,2,False,0
APP-00610,2024-09-18,Italy,Technology,Micro (<10),20,181779,False,2,74262,72,False,2,2.2,1.8,2.0,11.1,0.409,709,0,False,0
APP-00611,2024-08-31,Belgium,Professional Services,Micro (<10),9,1172096,False,0,89038,24,True,3,0.9,0.69,5.9,2.1,0.076,701,4,False,0
APP-00612,2023-12-04,Netherlands,Manufacturing,Micro (<10),9,382446,False,5,67754,48,False,6,0.49,2.4,4.0,1.4,0.177,766,1,True,0
APP-00613,2024-07-26,France,Real Estate,Micro (<10),13,293839,True,0,143152,72,False,6,1.11,0.63,10.5,2.4,0.487,743,2,False,0
APP-00614,2023-10-09,France,Healthcare,Micro (<10),4,366650,True,2,54569,36,True,9,1.04,1.23,3.7,37.8,0.149,671,1,False,0
APP-00615,2024-05-15,Germany,Retail & E-commerce,Micro (<10),4,646602,True,5,133990,48,False,3,0.51,2.55,10.9,5.5,0.207,850,1,False,0
APP-00616,2024-04-11,France,Real Estate,Small (10-49),6,358229,False,0,127363,48,False,47,1.06,1.21,4.0,14.4,0.356,720,1,True,0
APP-00617,2023-07-02,Netherlands,Construction,Micro (<10),2,50000,False,2,32787,72,False,4,0.79,1.65,6.1,10.0,0.656,751,1,False,0
APP-00618,2023-07-14,France,Professional Services,Medium (50-249),10,991932,False,0,119213,36,True,101,1.29,1.33,10.4,-6.9,0.12,613,1,False,0
APP-00619,2023-02-14,Netherlands,Professional Services,Micro (<10),17,309777,False,2,42481,48,False,6,1.74,1.4,5.4,10.7,0.137,620,5,False,1
APP-00620,2023-04-13,Netherlands,Healthcare,Small (10-49),4,610371,True,5,38850,24,False,34,0.98,0.91,3.7,-2.9,0.064,655,0,False,0
APP-00621,2023-11-13,Netherlands,Professional Services,Micro (<10),10,164862,False,5,124548,12,False,9,1.83,1.67,5.6,-6.4,0.755,569,4,True,0
APP-00622,2023-12-15,Belgium,Construction,Micro (<10),4,50000,True,1,71204,12,False,9,1.12,2.2,10.9,12.1,1.424,653,2,False,0
APP-00623,2023-05-01,Belgium,Technology,Micro (<10),3,50000,False,3,133032,36,True,6,1.15,0.3,7.8,-10.2,2.661,646,0,False,0
APP-00624,2023-11-01,Germany,Manufacturing,Medium (50-249),38,86401,True,3,133972,48,True,175,1.12,0.85,-5.8,15.5,1.551,737,5,False,0
APP-00625,2024-03-17,Netherlands,Real Estate,Medium (50-249),3,499195,False,0,31495,12,False,107,1.2,1.07,2.0,11.8,0.063,743,4,False,0
APP-00626,2023-06-19,Netherlands,Professional Services,Micro (<10),2,1273741,False,3,178526,24,False,2,0.59,0.87,2.1,20.2,0.14,659,0,True,1
APP-00627,2023-09-04,Germany,Hospitality & Food,Small (10-49),8,385526,True,0,123997,36,True,33,0.45,1.79,9.2,10.8,0.322,620,2,False,0
APP-00628,2023-09-26,Netherlands,Technology,Small (10-49),9,75911,False,5,61740,72,True,37,2.64,1.04,-4.5,-6.5,0.813,793,1,False,0
APP-00629,2024-01-04,France,Technology,Micro (<10),12,104720,False,3,88548,12,True,4,1.53,1.45,7.5,,0.846,528,2,False,0
APP-00630,2023-09-25,Poland,Hospitality & Food,Micro (<10),36,1373591,True,1,182647,36,True,5,0.97,2.29,9.5,19.0,0.133,525,2,False,0
APP-00631,2024-06-21,Germany,Technology,Small (10-49),3,55662,True,1,76443,60,True,32,2.55,0.32,9.5,15.7,1.373,688,0,False,0
APP-00632,2023-08-28,Italy,Agriculture,Small (10-49),4,3342158,False,4,536170,72,True,29,7.53,1.59,5.5,13.8,0.16,644,2,False,0
APP-00633,2023-11-13,Netherlands,Transportation & Logistics,Micro (<10),26,2549085,True,0,325316,48,True,1,0.55,1.33,-2.9,-12.7,0.128,625,2,False,0
APP-00634,2023-10-05,Netherlands,Transportation & Logistics,Micro (<10),15,3476951,True,1,108383,36,False,5,1.32,1.33,4.6,15.3,0.031,503,4,False,0
APP-00635,2023-05-14,France,Manufacturing,Micro (<10),14,423725,False,1,82257,24,False,2,2.01,0.86,14.1,-10.0,0.194,579,3,False,0
APP-00636,2024-05-15,Spain,Hospitality & Food,Medium (50-249),4,178112,False,1,85157,24,True,72,0.51,1.17,2.7,-2.5,0.478,768,2,False,0
APP-00637,2023-06-21,Italy,Construction,Micro (<10),18,411521,True,0,61051,60,False,5,0.54,1.4,18.0,-5.0,0.148,754,5,False,0
APP-00638,2023-08-05,Netherlands,Retail & E-commerce,Micro (<10),14,798349,False,0,109117,36,True,8,2.39,1.29,10.5,-13.8,0.137,713,0,False,0
APP-00639,2024-08-01,Spain,Healthcare,Micro (<10),8,122892,False,5,171105,36,False,8,1.31,1.82,5.2,7.1,1.392,584,3,False,0
APP-00640,2024-11-23,Belgium,Professional Services,Small (10-49),4,71578,False,3,33537,24,False,23,0.89,0.74,7.2,4.6,0.469,623,1,False,0
APP-00641,2024-05-04,Belgium,Professional Services,Small (10-49),8,190856,False,3,165086,36,True,32,0.5,0.56,8.1,20.9,0.865,617,4,False,0
APP-00642,2024-10-30,Netherlands,Manufacturing,Micro (<10),27,106216,True,1,208322,36,False,2,1.64,0.3,2.8,19.5,1.961,595,1,False,0
APP-00643,2024-09-15,Poland,Professional Services,Micro (<10),3,1189523,True,2,156020,36,True,3,0.58,1.48,3.7,7.1,0.131,606,1,False,0
APP-00644,2023-12-18,Netherlands,Professional Services,Small (10-49),3,128063,False,1,88969,12,True,27,0.73,1.85,17.0,14.5,0.695,641,2,False,1
APP-00645,2024-07-16,Spain,Technology,Micro (<10),4,300971,False,2,150919,36,True,4,0.76,0.7,14.2,3.7,0.501,531,1,False,0
APP-00646,2023-08-28,France,Construction,Micro (<10),5,872963,False,3,279127,24,True,6,1.1,0.64,3.9,3.7,0.32,744,0,False,0
APP-00647,2023-12-03,France,Manufacturing,Medium (50-249),7,1246450,False,0,94225,48,True,199,0.7,2.53,1.7,6.5,0.076,639,1,False,0
APP-00648,2024-01-26,France,Manufacturing,Micro (<10),15,344645,True,4,100598,48,False,5,0.76,2.17,-2.8,3.2,0.292,609,3,False,0
APP-00649,2024-12-02,Italy,Transportation & Logistics,Micro (<10),10,425557,False,4,543636,48,True,1,2.38,2.2,17.9,7.5,1.277,523,4,False,0
APP-00650,2024-09-11,Netherlands,Retail & E-commerce,Micro (<10),7,79190,True,1,126221,24,False,8,1.49,1.61,11.6,13.0,1.594,712,4,False,0
APP-00651,2023-12-24,Netherlands,Construction,Small (10-49),9,915905,False,5,44097,48,True,28,1.36,1.82,12.9,-9.6,0.048,566,1,False,0
APP-00652,2024-04-21,Germany,Construction,Small (10-49),12,1222279,False,3,198466,36,True,43,1.75,1.23,3.0,0.1,0.162,688,3,False,0
APP-00653,2023-05-28,Belgium,Construction,Micro (<10),1,50000,False,0,136155,36,False,3,0.72,0.55,2.6,14.3,2.723,579,2,True,0
APP-00654,2024-08-10,Netherlands,Agriculture,Small (10-49),17,2225595,False,0,58434,24,False,34,1.68,0.58,0.9,-1.7,0.026,659,1,False,0
APP-00655,2024-02-08,Netherlands,Technology,Medium (50-249),3,115752,False,2,40816,84,False,98,1.74,1.4,-11.4,-1.4,0.353,547,3,False,0
APP-00656,2024-01-24,Belgium,Real Estate,Small (10-49),5,547740,True,2,119476,36,False,32,0.73,1.96,1.2,17.2,0.218,636,2,False,0
APP-00657,2024-07-13,Netherlands,Agriculture,Micro (<10),9,294511,True,0,94081,36,False,8,1.93,1.3,7.8,-3.9,0.319,643,3,False,0
APP-00658,2024-04-07,Netherlands,Manufacturing,Micro (<10),6,249583,True,1,36482,12,False,6,1.55,1.77,7.4,10.2,0.146,662,0,True,0
APP-00659,2023-02-22,Italy,Manufacturing,Medium (50-249),10,209437,True,1,91970,48,True,249,1.58,1.35,2.6,6.8,0.439,720,2,True,0
APP-00660,2023-07-30,Belgium,Professional Services,Micro (<10),8,81546,True,1,87452,36,False,4,3.67,1.58,9.6,15.7,1.072,691,2,False,0
APP-00661,2023-05-10,Poland,Professional Services,Micro (<10),5,503124,True,0,93907,60,True,2,1.45,1.86,2.3,4.2,0.187,775,4,False,0
APP-00662,2024-06-20,Poland,Construction,Micro (<10),25,190374,False,0,146279,12,True,5,0.78,2.2,10.2,-4.5,0.768,535,1,False,0
APP-00663,2023-01-26,Netherlands,Manufacturing,Small (10-49),13,55753,False,3,24112,36,True,43,1.46,1.57,10.2,-2.8,0.432,817,2,False,0
APP-00664,2023-05-28,France,Manufacturing,Micro (<10),9,77496,False,0,40550,60,False,5,1.36,2.56,10.5,24.9,0.523,725,2,False,0
APP-00665,2024-03-12,Germany,Professional Services,Micro (<10),12,56900,False,2,66865,36,False,6,0.69,1.26,6.4,-1.4,1.175,614,0,False,0
APP-00666,2024-05-22,France,Technology,Small (10-49),4,142984,True,2,285199,12,True,42,0.4,2.19,1.5,-2.2,1.995,729,1,False,0
APP-00667,2024-01-03,Netherlands,Technology,Micro (<10),42,480277,True,4,656202,60,True,3,1.3,1.75,-0.6,-0.5,1.366,791,1,False,0
APP-00668,2024-09-20,Netherlands,Real Estate,Micro (<10),3,114308,True,5,99098,84,False,7,2.38,0.3,-5.9,1.8,0.867,739,2,False,0
APP-00669,2024-11-01,Netherlands,Manufacturing,Micro (<10),8,865038,True,4,102378,36,False,9,2.39,2.25,,0.1,0.118,571,2,True,0
APP-00670,2023-04-07,Germany,Professional Services,Micro (<10),5,232569,False,1,13978,48,False,2,1.6,0.85,-3.3,11.8,0.06,653,6,False,0
APP-00671,2024-11-26,Poland,Real Estate,Medium (50-249),5,189608,False,0,203530,36,False,87,3.46,1.25,5.3,6.2,1.073,710,3,False,0
APP-00672,2024-03-24,France,Technology,Micro (<10),5,273790,True,0,141451,48,False,9,1.5,1.92,7.2,-2.1,0.517,647,2,True,0
APP-00673,2024-04-09,France,Construction,Small (10-49),3,1431432,False,1,123810,60,False,48,1.2,0.95,0.1,13.7,0.086,685,2,True,0
APP-00674,2023-03-11,Poland,Construction,Micro (<10),19,51761,True,0,36425,48,False,9,1.53,1.36,5.3,8.4,0.704,690,1,False,0
APP-00675,2024-03-29,France,Retail & E-commerce,Micro (<10),2,1958403,True,0,481138,36,False,8,0.87,1.79,7.8,20.9,0.246,571,0,False,0
APP-00676,2024-06-13,Netherlands,Agriculture,Micro (<10),16,849320,False,0,333178,24,False,3,0.63,0.91,4.5,8.8,0.392,750,1,False,0
APP-00677,2024-02-28,Italy,Technology,Micro (<10),12,261453,False,1,124926,48,False,6,0.75,1.26,8.5,3.5,0.478,657,2,False,0
APP-00678,2023-03-03,Belgium,Construction,Micro (<10),5,1109733,False,1,218293,48,True,9,1.01,1.19,3.6,2.6,0.197,646,5,True,0
APP-00679,2024-01-17,Netherlands,Construction,Micro (<10),11,182231,False,4,102835,48,False,7,2.27,1.98,4.5,6.7,0.564,578,1,False,0
APP-00680,2024-11-14,Germany,Professional Services,Medium (50-249),6,378062,False,1,190396,24,False,155,0.57,2.34,1.1,9.4,0.504,630,2,True,0
APP-00681,2024-06-12,Italy,Manufacturing,Micro (<10),3,140126,True,0,34689,36,True,6,0.75,0.74,5.3,5.0,0.248,724,1,False,0
APP-00682,2023-04-11,Netherlands,Healthcare,Medium (50-249),3,855781,False,1,16011,60,False,95,2.19,1.45,6.0,-0.3,0.019,669,1,False,0
APP-00683,2024-12-01,Germany,Hospitality & Food,Micro (<10),12,114839,False,1,35753,24,True,4,1.09,1.09,0.9,12.5,0.311,706,1,False,0
APP-00684,2024-11-30,Netherlands,Retail & E-commerce,Micro (<10),11,252296,False,4,51782,72,True,7,1.2,1.42,8.4,10.2,0.205,647,1,False,0
APP-00685,2023-05-04,Netherlands,Professional Services,Small (10-49),8,606200,False,1,58991,36,False,48,1.08,2.46,-7.6,5.2,0.097,657,1,False,0
APP-00686,2024-08-07,Netherlands,Agriculture,Micro (<10),5,943949,False,0,141278,60,False,1,4.3,1.63,12.0,13.0,0.15,518,3,False,0
APP-00687,2023-10-24,France,Professional Services,Micro (<10),6,100168,True,2,80348,36,False,4,1.89,1.06,-1.8,4.1,0.802,681,2,False,0
APP-00688,2024-03-09,Italy,Hospitality & Food,Micro (<10),5,662493,False,1,96477,36,False,7,1.57,0.58,11.7,5.1,0.146,634,1,False,0
APP-00689,2023-11-21,Netherlands,Technology,Micro (<10),1,82587,True,1,38265,84,True,5,1.52,2.0,9.4,12.6,0.463,675,0,False,0
APP-00690,2024-07-25,Netherlands,Transportation & Logistics,Small (10-49),7,50000,True,0,35705,48,True,43,1.73,1.12,11.6,14.6,0.714,477,3,False,0
APP-00691,2024-12-28,Netherlands,Technology,Micro (<10),11,109351,False,1,102015,24,True,6,4.09,0.93,-0.2,12.8,0.933,850,3,False,0
APP-00692,2024-08-03,Netherlands,Transportation & Logistics,Medium (50-249),7,730578,False,0,63979,84,False,120,1.08,1.58,4.9,-4.2,0.088,655,1,False,0
APP-00693,2024-11-10,Germany,Retail & E-commerce,Micro (<10),30,264432,False,2,99076,36,True,7,1.49,1.75,7.6,9.5,0.375,686,2,False,0
APP-00694,2024-11-21,France,Agriculture,Micro (<10),3,141209,False,0,152591,60,True,4,1.37,1.18,8.4,5.5,1.081,680,2,False,0
APP-00695,2023-03-07,France,Agriculture,Micro (<10),4,286809,False,0,366439,24,False,4,2.32,0.83,10.6,9.7,1.278,624,1,False,0
APP-00696,2023-07-04,Belgium,Construction,Micro (<10),8,275647,True,1,97113,72,True,3,3.75,2.22,9.6,26.9,0.352,683,1,False,0
APP-00697,2024-06-10,Germany,Technology,Medium (50-249),8,565959,False,1,421120,84,False,249,0.95,1.81,8.6,2.5,0.744,744,0,False,0
APP-00698,2024-03-06,Netherlands,Manufacturing,Small (10-49),1,50000,True,0,136628,36,False,26,1.77,1.99,8.7,5.3,2.733,664,0,True,0
APP-00699,2023-02-06,Netherlands,Hospitality & Food,Micro (<10),11,237322,False,5,171373,24,False,9,1.5,1.19,9.8,-1.8,0.722,718,1,False,0
APP-00700,2023-03-11,Italy,Manufacturing,Micro (<10),9,311493,False,2,229227,48,True,6,0.59,0.9,6.1,,0.736,711,2,False,0
APP-00701,2024-01-15,Spain,Retail & E-commerce,Small (10-49),1,52133,True,4,175570,24,True,15,2.42,1.08,12.3,-3.1,3.368,706,0,False,0
APP-00702,2024-03-25,Italy,Real Estate,Micro (<10),6,51282,False,0,51981,36,True,7,3.45,0.49,5.6,-7.9,1.014,798,2,False,0
APP-00703,2023-05-03,Italy,Manufacturing,Micro (<10),3,173225,False,1,234789,48,True,2,2.21,1.2,-3.3,-18.5,1.355,678,3,False,0
APP-00704,2023-05-06,France,Construction,Micro (<10),5,271096,False,1,73184,24,True,8,0.92,0.99,12.8,-3.3,0.27,643,5,False,0
APP-00705,2023-04-05,Italy,Professional Services,Micro (<10),2,272244,False,1,125661,72,True,9,0.6,1.35,8.6,-2.5,0.462,646,5,False,0
APP-00706,2024-02-17,Belgium,Professional Services,Micro (<10),10,137637,False,0,109785,60,False,5,1.98,1.43,5.2,4.3,0.798,682,1,False,0
APP-00707,2023-01-06,Netherlands,Professional Services,Micro (<10),30,131032,False,0,246539,36,True,4,0.71,1.45,6.6,-1.5,1.882,541,2,False,0
APP-00708,2024-02-22,Netherlands,Professional Services,Medium (50-249),9,167006,True,3,135192,36,False,144,0.75,1.05,14.3,17.4,0.81,761,2,False,0
APP-00709,2023-12-14,Netherlands,Technology,Micro (<10),1,383934,False,3,32567,60,True,7,1.53,0.69,6.6,7.7,0.085,630,0,False,0
APP-00710,2023-12-07,Netherlands,Real Estate,Medium (50-249),9,1194866,False,0,526141,36,False,124,2.1,0.53,14.4,13.9,0.44,642,0,True,0
APP-00711,2024-05-10,Belgium,Hospitality & Food,Small (10-49),6,50000,False,0,192518,84,False,12,1.1,1.52,8.6,16.8,3.85,545,1,False,0
APP-00712,2024-01-17,France,Real Estate,Micro (<10),3,566709,False,0,63551,12,True,6,1.19,1.48,4.0,21.6,0.112,658,2,False,0
APP-00713,2024-06-15,Spain,Technology,Micro (<10),9,234830,True,2,39741,36,False,7,1.26,0.56,-1.2,16.7,0.169,541,3,False,1
APP-00714,2024-07-11,Germany,Technology,Micro (<10),14,504269,False,0,210958,48,False,2,0.78,2.26,6.5,-5.6,0.418,515,1,False,0
APP-00715,2024-11-02,Netherlands,Manufacturing,Small (10-49),4,1113091,False,2,43684,24,False,24,1.07,1.9,13.2,15.3,0.039,591,4,False,0
APP-00716,2024-08-06,Spain,Retail & E-commerce,Micro (<10),1,108428,False,0,187319,36,False,5,0.51,0.79,2.9,8.8,1.728,630,3,True,1
APP-00717,2024-01-13,Belgium,Transportation & Logistics,Medium (50-249),1,833313,True,2,232179,48,False,172,2.1,1.56,8.0,21.2,0.279,581,3,False,0
APP-00718,2023-12-26,Netherlands,Construction,Small (10-49),4,59584,False,3,58699,36,False,30,7.19,1.32,14.4,5.3,0.985,672,2,False,0
APP-00719,2023-06-22,Netherlands,Hospitality & Food,Small (10-49),6,312737,False,0,54655,24,False,40,1.4,1.56,-3.8,18.7,0.175,748,1,True,0
APP-00720,2024-03-13,Belgium,Transportation & Logistics,Micro (<10),4,200582,False,3,67766,36,False,6,2.76,1.5,8.2,6.2,0.338,667,1,False,0
APP-00721,2023-04-12,Netherlands,Professional Services,Micro (<10),4,283661,False,4,44752,12,False,7,1.15,1.8,9.0,6.7,0.158,472,1,False,0
APP-00722,2024-11-10,Spain,Healthcare,Small (10-49),11,81892,False,1,118616,24,False,12,0.6,2.29,8.0,13.0,1.448,648,0,False,0
APP-00723,2024-09-08,Spain,Professional Services,Small (10-49),10,453277,False,0,132962,12,False,46,5.21,1.58,-3.4,1.2,0.293,696,2,True,0
APP-00724,2023-03-29,France,Agriculture,Micro (<10),8,1800445,True,1,176662,84,True,4,0.81,1.72,1.8,11.6,0.098,620,3,False,0
APP-00725,2024-07-27,Netherlands,Manufacturing,Small (10-49),14,83597,False,0,50682,24,False,26,2.38,2.28,-5.5,-13.2,0.606,675,0,True,0
APP-00726,2023-03-27,Spain,Retail & E-commerce,Micro (<10),4,336911,False,4,193293,12,True,7,1.54,1.08,-1.2,10.8,0.574,671,4,False,0
APP-00727,2024-06-10,France,Technology,Small (10-49),3,749414,True,1,44795,84,True,26,2.75,0.84,10.6,-10.3,0.06,562,3,False,0
APP-00728,2023-03-06,Netherlands,Manufacturing,Micro (<10),4,187946,False,2,193206,60,True,8,1.3,1.8,4.2,11.7,1.028,746,2,False,0
APP-00729,2023-12-23,France,Real Estate,Micro (<10),4,1372948,True,2,30051,36,False,8,0.67,0.67,10.5,-30.0,0.022,626,3,False,1
APP-00730,2024-04-25,Germany,Technology,Small (10-49),1,160231,False,0,345999,72,True,31,0.91,0.92,10.2,-16.8,2.159,623,2,False,0
APP-00731,2024-06-16,Germany,Manufacturing,Micro (<10),4,233385,False,1,65041,72,False,6,5.54,2.3,-0.2,5.6,0.279,686,0,False,0
APP-00732,2023-11-02,Netherlands,Manufacturing,Micro (<10),17,81488,False,3,159415,60,False,8,1.64,0.37,6.9,5.8,1.956,521,2,False,0
APP-00733,2024-11-03,Germany,Agriculture,Small (10-49),14,312358,True,1,169866,48,True,39,4.99,1.58,-2.7,2.0,0.544,751,2,False,0
